message=cataloging configuration,power_limit=10,max_threads=228,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=start,tick=1,start_time=3278293.592021,nthreads=1,
message=Lowering power,name=spmv,old_threads=41,new_threads=40,delta_t=0.276200,delta_p=-1.548000,
message=Lowering power,name=spmv,old_threads=40,new_threads=39,delta_t=-0.020830,delta_p=-0.211000,
message=Lowering power,name=spmv,old_threads=39,new_threads=38,delta_t=0.147510,delta_p=-0.476000,
message=Lowering power,name=spmv,old_threads=38,new_threads=37,delta_t=0.526630,delta_p=-2.266000,
message=Lowering power,name=spmv,old_threads=37,new_threads=36,delta_t=0.243340,delta_p=-1.636000,
message=Lowering power,name=spmv,old_threads=36,new_threads=32,delta_t=0.517350,delta_p=-1.799000,
message=Lowering power,name=spmv,old_threads=32,new_threads=31,delta_t=0.541750,delta_p=-1.544000,
message=Lowering power,name=spmv,old_threads=31,new_threads=30,delta_t=0.098870,delta_p=-0.299000,
message=Lowering power,name=spmv,old_threads=30,new_threads=27,delta_t=1.254120,delta_p=-1.884000,
message=Lowering power,name=spmv,old_threads=27,new_threads=26,delta_t=0.073900,delta_p=-0.727000,
message=Lowering power,name=spmv,old_threads=26,new_threads=25,delta_t=0.590600,delta_p=-0.613000,
message=Lowering power,name=spmv,old_threads=25,new_threads=24,delta_t=0.242300,delta_p=-1.808000,
message=Lowering power,name=spmv,old_threads=24,new_threads=22,delta_t=1.109000,delta_p=-0.973000,
message=Lowering power,name=spmv,old_threads=22,new_threads=21,delta_t=0.547700,delta_p=-0.092000,
message=Lowering power,name=spmv,old_threads=21,new_threads=20,delta_t=0.703100,delta_p=-0.059000,
message=Lowering power,name=spmv,old_threads=20,new_threads=19,delta_t=0.903800,delta_p=-1.735000,
start_task=,name=spmv,tick=9,start_time=3278295.065651,nthreads=19,
end_task=,name=myddot,start_time=1468005475.883506,elapsed_seconds=0.246075,nthreads=111,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=sum_contribs,tick=10,start_time=3278295.314253,nthreads=1,
end_task=,name=sum_contribs,start_time=1468005476.140868,elapsed_seconds=0.001613,nthreads=1,released_listeners=1,
end_task=,name=spmv,start_time=1468005475.892264,elapsed_seconds=1.173513,nthreads=19,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=myddot,tick=11,start_time=3278296.240893,nthreads=111,
end_task=,name=myddot,start_time=1468005477.067508,elapsed_seconds=0.155199,nthreads=111,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=sum_contribs,tick=12,start_time=3278296.408688,nthreads=1,
end_task=,name=sum_contribs,start_time=1468005477.235304,elapsed_seconds=0.000477,nthreads=1,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=comp_alpha,tick=13,start_time=3278296.410149,nthreads=1,
end_task=,name=comp_alpha,start_time=1468005477.236767,elapsed_seconds=0.000181,nthreads=1,released_listeners=4,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=97,sum_p=268,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
