nthreads,energy,time
41,741.8,5.68755
42,736.9,5.65087
43,719.5,5.4433
44,705.1,5.29272
45,694.8,5.21172
46,683.85,5.10043
47,666.8,4.95033
48,658.55,4.90902
49,656.75,4.85438
50,641.25,4.75045
51,635.45,4.65247
52,634.35,4.6049
53,616.85,4.44139
54,605.6,4.40928
55,603.85,4.3376
56,600.75,4.29604
57,587.5,4.20929
58,583.35,4.15181
59,572.9,4.09522
60,554.75,3.93962
61,553.85,3.95201
62,539.2,3.85011
63,533.7,3.7966
64,533.4,3.80735
65,519.75,3.70236
66,518,3.70038
67,510.25,3.63678
68,490.4,3.51592
69,500.75,3.53832
70,487.45,3.44406
71,478.95,3.39253
72,484.25,3.42997
73,470.55,3.36101
74,458.8,3.2567
75,451.25,3.21211
76,457.2,3.25363
77,445.75,3.14089
78,443.7,3.14079
79,435.6,3.09108
80,424.1,3.01213
81,426.9,3.06648
82,429.2,3.04792
83,421.65,2.98469
84,414,2.95761
85,410.4,2.88387
86,403.4,2.85282
87,399.5,2.85982
88,400.4,2.83278
89,390.95,2.74493
90,385.75,2.7
91,393.35,2.78702
92,383.1,2.68594
93,380.85,2.68217
94,380.75,2.72808
95,381.95,2.73715
96,380.5,2.68303
97,388.25,2.73344
98,377.65,2.73654
99,380.2,2.72847
100,373.1,2.68446
101,382.3,2.73188
102,385.2,2.73231
103,382.95,2.73419
104,392,2.73375
105,389.95,2.73664
106,384.35,2.73136
107,393.05,2.73393
108,390.45,2.72774
109,389.15,2.73394
110,382.95,2.72862
111,388.55,2.73506
112,387.7,2.78366
113,382.25,2.73316
114,388.95,2.72712
115,382.65,2.73593
116,399.55,2.77922
117,376.4,2.68636
118,383.35,2.73235
119,383.95,2.75857
120,357.8,2.56658
121,352.4,2.50838
122,346.7,2.45697
123,333.5,2.36182
124,332.45,2.35971
125,330.35,2.35984
126,332.85,2.3453
127,330.85,2.36425
128,339.15,2.39855
129,332.45,2.36601
130,326.75,2.28998
131,378.9,2.63988
132,324.05,2.29097
133,324.3,2.29126
134,325.2,2.28423
135,325.35,2.29658
136,322.05,2.28705
137,313.3,2.21467
138,318.65,2.23814
139,312.15,2.22879
140,319,2.26342
141,312.65,2.18753
142,311.2,2.19865
143,308.55,2.19568
144,310.45,2.20121
145,315.55,2.23048
146,308.6,2.19279
147,310.7,2.20098
148,304.35,2.2122
149,300.05,2.14983
150,293.55,2.10162
151,299.15,2.15867
152,312.6,2.22872
153,310.2,2.18064
154,301.5,2.15638
155,298.55,2.14953
